Season,Tropical Storms,Hurricanes,Major Hurricanes
1950,16,11,8
1951,10,8,5
1952,7,6,3
1953,14,6,4
1954,11,8,2
1955,12,9,6
1956,8,4,2
1957,8,3,2
1958,10,7,5
1959,11,7,2
1960,7,4,2
1961,11,8,7
1962,5,3,1
1963,9,7,2
1964,12,6,6
1965,6,4,1
1966,11,7,3
1967,8,6,1
1968,8,4,0
1969,18,12,5
1970,10,5,2
1971,13,6,1
1972,7,3,0
1973,8,4,1
1974,11,4,2
1975,9,6,3
1976,10,6,2
1977,6,5,1
1978,12,5,2
1979,9,5,2
1980,11,9,2
1981,12,7,3
1982,6,2,1
1983,4,3,1
1984,12,5,1
1985,11,7,3
1986,6,4,0
1987,7,3,1
1988,12,5,3
1989,11,7,2
1990,14,8,1
1991,8,4,2
1992,7,4,1
1993,8,4,1
1994,7,3,0
1995,19,11,5
1996,13,9,6
1997,7,3,1
1998,14,10,3
1999,12,8,5
2000,15,8,3
2001,15,9,4
2002,12,4,2
2003,16,7,3
2004,15,9,6
2005,28,15,7
2006,10,5,2
2007,15,6,2
2008,16,8,5
2009,9,3,2
2010,19,12,5
2011,19,7,4
2012,19,10,2
